User_ID,Country,University,Qualification,Discipline,GPA
110,India,kle University,post graduation,doctor of pharmacy,72
111,India,Loyala Degree college,chartered accountant,B.com,72
112,india,sage university indore,post graduate,MBA in finance,8.44
113,United States,Alamance Community College,Professional,Computer Science,3.9
114,Spain,Unizar,Last year,Journalism,80
115,BD,University of Dhaka,MSS,Sociology,3.18
116,INDIA,IGNOU,GRADUATION,BCA,0
117,India,VIIT Pune,Graduation,Mechanical Engineering,9.1
118,pakistan,ned university,B.E,industrial manufacturing engineering,3.52
119,India,Delhi University,graduate,B.com hons,7.45
120,India,sharda university greater noida,third year,law(B.A.LLB),9
121,Tunisia,tekup university tunisia,5,Computer science,80
122,India,Shri guru Nanak Dev Khalsa College,graduation,commerce,8
123,China,Beijing Technology and Business University,Bachelor,Accounting,3.9
124,indonesia,universitas islam indonesia,bachelor program,architecture,"3,69"
125,United States of America,Thornridge high school,School,journalism,3500
126,USA,UNT Dallas,Graduate,Counseling,3.66
127,Bangladesh,United International University,BBA,Human Resource,3.59
128,egypt,language,2,computer science,89.50%
129,Tunisia,Art,Student,Design,90
130,Pakistan,PMAS AAUR,Masters,Remote Sensing GIS,4
131,United states of America,University of Wisconsin-Milwaukee,3 year,Music Composition & Technology,2.8
132,Canada,ABM college,college,addictions and community service worker,0
133,India,Bharati Vidyapeeth Pune,Engineering,Mechanical Engineering,8
134,Australia,Melbourne University,Bachelor,Economics and Finance,72
135,United Kingdom,University of Bristol,Undergraduate,Law,2.1
136,iraq,alsalam,studint,clincal pathology,70
137,canada,fanshawe college,Bachelors,Environmental Design And Planning,8.9
138,India,Punjab University,final year of graduation,BSC Computer Science,65
139,INDIA,Delhi university,1st year graduation,Zoology (honours),Not completed
140,Canada,Seneca College,Diploma,biotechnology,3
141,United States of America,Spokane Community College,Freshman,Biomedical Device Repair,3.1
142,France,Lycée Théodore aubanel,Terminal S,Science,20
143,Indonesia,-,-,-,-
144,India,"Vivekananda Institute of Professional studies, IP University",Undergraduate,English Honours,89%
145,India,Delhi university,ug,computer science,8
146,India,Lady Shri Ram College,School,Mathematics,95
147,India,Jaypee Institute of Information Technology,Undergraduate,Bachelor or Technology,7.1
148,Tunisia,Secandary school,Bac,Maths,50
149,usa,University of California Riverside,undergraduate,Sociology,2.8
150,Malaysia,First City University College,Bachelor of HONS,Electronic Engineering,3.16
151,Uzbekistan,Aviator College,High School,Computer Science,3.18
152,Brunei,SULTAN Sharif Ali Islamic university,bachelor,Economics and Islamic finance,3.92/4
153,Mexico,ITESM,Bachelor,Industrial Engineering,A
154,,Ch,School,Ch,2
155,Latvia,RTU,Bachelor,Computer science,100
