Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
Moon Trip - Inspiring Humanity to Explore Beyond Earth,25,0,0,70,148,"[ 0.47343293  0.20355887  0.32222913 -0.0978408   0.16898801  0.0331611
 -0.5573205  -0.13982253  0.04129627 -0.1160947   0.15810581 -0.01299189
 -0.19898994  0.34593598  0.33038299  0.09139569  0.11447062  0.20390653
 -0.36778087 -0.50363331  0.10609241  0.19999093 -0.04111954 -0.02521199
  0.30205175 -1.05261774 -0.3091759  -0.357325    0.14504578 -0.02953813
  2.52356933  0.31394179 -0.3058946  -0.5592269   0.11622654  0.11978611
  0.0070977   0.33521661 -0.08118457 -0.06594445 -0.2267735  -0.05592941
  0.27495338  0.19910577  0.0320189   0.03140432  0.08452639  0.035609
 -0.29118295  0.15249829]"
Scholars International Conference on Pediatrics and Neonatology,34,0,0,70,175,"[ 1.75152055e-01  3.72560437e-01 -3.39603996e-01 -1.07022239e-02
 -6.68254613e-02 -4.60337390e-02 -2.61720513e-01 -5.15244471e-01
  2.69043709e-01 -3.00851407e-02  6.71347945e-02 -4.99148579e-02
 -3.23364166e-02 -1.10724915e-02  1.17414797e-01 -2.27329528e-03
 -1.06676415e-01  4.22584908e-02 -2.56458599e-04  4.61778016e-02
  4.15106463e-01  1.15444501e-01  6.43176777e-02 -1.50684581e-02
  2.30666215e-02 -6.13406730e-01 -2.61858213e-01 -4.13342799e-01
 -5.00311103e-01  1.84911252e-01  2.22882581e+00  1.24214016e-01
 -1.34291988e-01 -7.33763230e-01 -1.19983917e-01  2.25398130e-02
  1.02075064e-02  2.81324780e-01  2.06269926e-02 -7.01553888e-03
 -1.34649089e-01 -3.17669689e-01  1.46122085e-02  1.75846553e-01
  1.01903295e-01  2.28967011e-01  1.41261528e-01  4.15033365e-01
 -1.03340908e-01  1.83764646e-01]"
Scholars International Conference on Advances in Neurology and Neuropsychiatry,34,0,0,70,102,"[ 0.26083667  0.19917011 -0.25068928  0.10528994 -0.01416184 -0.047137
  0.01920592 -0.273128    0.15110239 -0.08405472  0.12463581 -0.01868279
 -0.19182606 -0.01695501  0.12492539  0.1620679  -0.05653932  0.11423588
 -0.14011404  0.17534092  0.38730193  0.06244174 -0.0327303  -0.0370531
  0.11086243 -0.72028765 -0.12445202 -0.39158916 -0.40583196  0.16979474
  1.94628245  0.23075545  0.04131484 -0.629803   -0.13480725 -0.05431716
 -0.10907937  0.15181662  0.1136039  -0.08983331 -0.34536761 -0.30719635
  0.09994157  0.17206392  0.13919941  0.20655512  0.22277075  0.32698341
 -0.04120027  0.12163049]"
BOLC Distance Learning Scholarships,80,0,0,70,148,"[-0.0188859   0.58578497 -0.00466494 -0.21527378  0.06784402  0.08983137
 -0.34395855 -0.41870638  0.05794182 -0.00561977  0.08455968 -0.09427384
  0.11951969 -0.37072616  0.20814349  0.17232552  0.10979197  0.25665041
 -0.05519837 -0.16284803  0.22943186  0.1127978  -0.166436    0.21739599
  0.00808419 -0.93626677  0.02002055 -0.46340381 -0.22444852 -0.17241139
  2.68928484  0.28802703 -0.35724235 -0.39545477  0.35995984 -0.05233884
  0.23069525  0.35626203  0.04429374 -0.27751564  0.01453974 -0.36451636
  0.27901329  0.42680078 -0.40529841 -0.08361113  0.18406536  0.15135645
 -0.02269329  0.25372132]"
SZIDF 2019 Gadget Design Award,14,0,0,70,148,"[ 0.06726647  0.34276782 -0.25119434  0.2013152   0.1833749  -0.19820178
 -0.21365919 -0.26470684  0.15929828 -0.11534177  0.15115949 -0.06579306
 -0.02466003  0.01650908  0.32555615 -0.05559904 -0.0490185   0.10638297
 -0.17550136 -0.1878721   0.54080658 -0.13163966 -0.02583414 -0.02670096
 -0.17102313 -0.80809563 -0.19517808 -0.24369611 -0.39271972 -0.04811883
  2.3680521   0.11663748 -0.2507059  -0.32078468  0.08022865 -0.05123101
  0.26811653  0.2792753  -0.11790068 -0.06778569 -0.13805802 -0.27776093
  0.23009015 -0.08762923 -0.16773339 -0.02713338 -0.12524373  0.2318114
  0.14513779  0.08025314]"
Article Writing Contest 2019,25,0,0,70,148,"[ 1.17261977e-01  2.33489044e-01  5.94610650e-02  8.33393237e-03
  1.45962480e-02 -8.59486567e-02 -3.13352942e-01 -5.09038803e-01
  1.91981083e-01  2.47482207e-01  7.05983271e-02 -1.18332022e-02
 -3.06264315e-02 -5.58078914e-02  1.02090090e-02 -1.41494030e-02
 -9.45282035e-02  1.72885849e-01  1.02386224e-01 -2.44482075e-01
  3.98869931e-01  1.99228395e-02 -7.30702980e-04  1.97194340e-01
  2.10693704e-01 -7.86173035e-01 -3.07380323e-01 -4.62711080e-01
 -5.72234632e-02  3.63193135e-02  2.64123745e+00  2.07362710e-01
 -1.32877761e-01 -6.60676265e-01  1.11678028e-02 -1.35409856e-02
 -2.13324755e-01  2.89964815e-01 -2.11351685e-01 -2.16429057e-01
 -8.67276801e-03 -3.53827044e-01 -2.56114301e-02  3.35691139e-01
 -2.63857167e-02 -8.68320332e-02  3.37377924e-01  3.04790776e-01
  1.23370873e-02  2.92424755e-01]"
Temporary Needs,25,0,0,70,148,"[ 2.43414543e-01  1.80492559e-01  2.00616830e-01 -1.71624354e-01
  2.36586597e-01  2.99546960e-01 -4.20896390e-01 -3.74872457e-01
  3.33370410e-02 -3.29177694e-03  7.74869375e-02  1.71213269e-03
 -1.72659935e-01  1.00644370e-02  3.40678791e-01  1.15522747e-01
 -2.14973260e-02  1.63670849e-01 -4.96490839e-02 -5.34644066e-01
  2.20383244e-01  7.86088807e-02 -1.80973405e-02  1.52370967e-01
  1.24103085e-01 -1.11468110e+00 -2.67784983e-01 -2.45651726e-01
  2.44434811e-01 -7.08956104e-02  2.85233933e+00  4.00524671e-01
 -2.61366301e-01 -3.38630000e-01  1.73827086e-01  7.98536812e-02
  5.61232477e-02  2.42438214e-01 -2.26875905e-02 -1.65818799e-01
 -1.92541914e-01 -9.42079820e-02  2.55574285e-01  1.22184421e-01
  5.45255547e-02  1.69983643e-01 -6.99489542e-02 -6.71758942e-02
  1.08914252e-01  1.11278614e-01]"
UXHack Learning Hackathon 3: Let's Build for India,25,0,0,70,148,"[ 0.26358136  0.21081446  0.05421978  0.10411557  0.20426114  0.02208067
 -0.28064741 -0.37491488  0.07239175  0.12390567  0.08727182  0.12613838
 -0.25574362 -0.08897071  0.2591434   0.1329441   0.11928007  0.0881464
 -0.01179661 -0.46522082  0.10203257 -0.01818668  0.0166949   0.12234479
  0.16827527 -0.92121476 -0.29786101 -0.26736399  0.09895514  0.03184361
  2.77374928  0.24978717 -0.16390992 -0.38292039  0.05327265 -0.06263787
 -0.14724768  0.18592477 -0.06579028 -0.27074383 -0.05772064 -0.15275476
  0.06888245  0.12275506  0.05515752  0.16650382  0.1255216   0.17080072
  0.01629585  0.20461756]"
Scale Challenge,25,0,0,70,148,"[ 0.20925153  0.06414236  0.11850376  0.31826435  0.03074938 -0.0299409
 -0.40511787 -0.0581453   0.22509759  0.01975215  0.04206322 -0.09098576
 -0.18605994 -0.01454951  0.20937913  0.03130998  0.14231021  0.04303475
 -0.18936451 -0.37688348  0.35074923 -0.17346697 -0.02779538 -0.05381849
 -0.07814365 -1.02700268 -0.32040082 -0.39594402 -0.0692522  -0.01329635
  2.58359008  0.24701985 -0.10058005 -0.3933056   0.07605711 -0.05368481
 -0.15875236  0.29249603 -0.11314975 -0.27544943 -0.24433594 -0.21147961
  0.17678941  0.0991545   0.05216004  0.07002877 -0.110934    0.28145078
 -0.06299534  0.06969613]"
Cap Innovation Contest,25,0,0,70,148,"[ 0.1844932   0.07500791  0.01079859  0.02039827  0.08319345  0.17637621
 -0.41319021 -0.60214017  0.21419487  0.19215584  0.16884531  0.18502876
 -0.07398829  0.03337621  0.0744465   0.2595573  -0.02032823  0.12419106
  0.14042805 -0.65259127  0.33486045 -0.11777592 -0.29248608 -0.0760482
 -0.08875842 -1.03646988 -0.39634002 -0.1829482   0.20555912  0.01724437
  2.79800846  0.24611844 -0.21140687 -0.41367848  0.10000091  0.09159033
 -0.02806221  0.40510452 -0.11847662 -0.40587913  0.02009852 -0.15136887
  0.13245632  0.25472142  0.06412441  0.14920063  0.00564077  0.20518196
  0.12696995  0.26652033]"
III INTERNATIONAL CONTEST “inHAUS LAB – Design your modular house” FOR STUDENTS AND NEW GRADUATES,25,10,0,70,98,"[ 0.13976417  0.34557197 -0.23411051 -0.10671897 -0.00668301  0.04356298
 -0.26174144 -0.7199295  -0.08269596  0.25558045  0.01185428 -0.00283217
 -0.12137438 -0.07145488 -0.23377287 -0.04492089  0.19769069  0.31539024
  0.23344506 -0.24607655  0.3813545   0.03207045 -0.40104134  0.02036733
  0.03287933 -0.74818027 -0.46051344 -0.50627303 -0.13560306 -0.05091289
  2.59564833  0.03456608 -0.2239801  -0.82478931  0.01695805  0.13192797
 -0.15204736  0.38449333 -0.11169594  0.00606723 -0.1116429  -0.43144278
  0.07482573  0.23510372  0.03176225  0.19342477  0.14259097  0.07676746
 -0.09680494  0.17104188]"
SITE CLOISTER international architecture ideas competition,25,10,0,70,156,"[ 0.20831526  0.52095145 -0.29154893 -0.18600808  0.04531604 -0.1974658
 -0.27874809 -0.39149786 -0.37676147  0.17282297  0.14964894  0.09010719
  0.05306059 -0.19296017 -0.07337853 -0.05084603  0.21166541  0.23389914
 -0.10398724  0.02137689  0.08565494  0.11161142 -0.24601467  0.23120903
  0.19208838 -0.7106825  -0.38571678 -0.43142116 -0.40446919 -0.18950014
  2.29485084 -0.22406184 -0.18908886 -0.55875877  0.139969    0.07155183
  0.04352394  0.25383486  0.12817909  0.0691028   0.07917183 -0.22269152
  0.16961886  0.09119674 -0.03283011  0.11472075  0.13526275 -0.18677858
  0.12169661 -0.03542808]"
Fashion Pavilion Milan,25,62,0,70,98,"[ 3.04840134e-01  2.26300000e-01 -3.18369739e-01  1.26497422e-01
  2.02827220e-01 -1.89647852e-01 -1.58970077e-01 -4.19647184e-01
 -1.00219997e-01  2.29455136e-01  6.24223056e-02 -1.07496770e-01
 -1.83173207e-01  1.99051028e-01 -8.59187230e-05  8.38305016e-02
  1.35077520e-01  2.09942291e-01 -1.27458312e-01 -3.16829447e-01
  7.04813977e-02 -7.53418452e-02 -4.51474633e-01  1.17286578e-01
  1.28131938e-01 -6.48262888e-01 -4.03886925e-01  6.59120200e-02
  6.89846571e-02 -2.15605793e-01  2.12601551e+00  1.18221339e-01
 -1.35822125e-02 -5.32148633e-01 -2.04669873e-01  2.00747526e-01
  3.01913519e-02  4.16475239e-01 -3.72373261e-01 -6.70721536e-02
  5.57460834e-03 -1.77958083e-01 -2.20474993e-02  1.44986601e-01
 -5.27177887e-02  2.25962527e-01  1.36076553e-01 -2.05240107e-01
 -4.00257892e-02  1.75174211e-02]"
View point for construction site of Museum of Modern Art in Warsaw,25,10,0,70,155,"[ 3.18662012e-01  5.19411717e-01 -1.08176287e-01  1.19680929e-01
 -1.23712831e-02 -2.14785930e-01 -5.83290282e-01 -6.24053573e-01
  2.80736424e-02 -6.44855712e-02  9.64752884e-02 -2.67141663e-01
 -1.40694281e-01  5.40310686e-02 -1.42675568e-01  2.72573783e-01
  1.42497856e-01  4.27177570e-01 -2.32582141e-01 -1.09410635e-01
  7.38203858e-01 -1.01072070e-01 -7.19978073e-01  6.22562191e-02
  3.79138572e-02 -1.08974771e+00 -5.00919997e-01 -1.16121750e-01
 -1.90343580e-02 -2.44560211e-01  2.64361144e+00 -1.19893432e-01
 -2.51077795e-01 -8.33724794e-01 -3.02567995e-01  1.14571928e-01
  1.19227692e-01  4.01417497e-01 -3.61117146e-01  6.29085744e-02
  1.58340146e-01 -4.79617139e-01  2.10580500e-01 -7.87476428e-02
  1.89499876e-03  2.98886354e-01 -9.84387834e-02 -1.21432689e-01
 -5.54221421e-02 -7.89877879e-02]"
Architecture – Space – Sea International Competition in Architecture by the Jacques Rougerie Foundation Space & Sea Generation – Institut de France,25,10,0,70,76,"[ 4.51560200e-01  3.04413258e-01  4.04758139e-02 -2.34327870e-01
  3.17347186e-01 -6.25425799e-02 -3.06545701e-01 -3.48014415e-01
  1.03301509e-01  1.58660857e-01  3.61183771e-02 -1.04899190e-02
  7.06787575e-02  1.09436123e-02  2.99795748e-01  9.20117243e-02
  2.36767720e-01  3.24666111e-03 -2.75756579e-01 -1.24456743e-01
  9.95618944e-02  2.61844392e-02 -7.91447934e-02 -1.75829323e-01
  2.97029368e-01 -9.35599896e-01 -3.30821161e-01 -2.11633913e-01
  1.87610820e-01  2.62305786e-02  2.55967920e+00  2.31529288e-01
 -2.93113327e-01 -3.71454986e-01 -5.44372313e-04 -7.96984537e-02
  6.54335826e-02  7.91154830e-02 -1.67000145e-01 -1.69697827e-01
 -4.03148446e-01 -1.98705467e-01  3.06626583e-01 -8.39278277e-02
 -1.77981062e-01  1.78114711e-01 -5.99473400e-02 -1.45872564e-01
  7.29900043e-03 -9.56093622e-03]"
Extreme Habitat Challenge – Arctic,25,10,0,70,48,"[ 0.17699059  0.34661534 -0.28978371  0.05001107 -0.07627133  0.0574132
 -0.24890326 -0.54413451  0.12674657  0.00338664  0.18546002  0.0953659
  0.00921564  0.04577637 -0.06614912  0.03688521  0.3897876   0.15514871
 -0.14393258 -0.32892784 -0.0093172  -0.04846542 -0.23850566 -0.05270584
  0.13194801 -0.65196285 -0.43901272 -0.29154992 -0.09360246 -0.00610432
  2.29157515  0.07438072 -0.3142369  -0.6420654  -0.12609362  0.1466493
 -0.04961808  0.2237609  -0.29060741 -0.20896664 -0.05036086 -0.31342418
  0.18045024  0.13114948 -0.07598868  0.12171984  0.1368454   0.10218774
 -0.07459323  0.06547432]"
Woovly Live Project,69,0,0,70,91,"[ 0.13581998  0.34279364  0.03342509 -0.16912414  0.03870836 -0.07170856
 -0.53539372 -0.27661534  0.22869232  0.2038782   0.06330876 -0.03903411
  0.07634308 -0.05132119  0.1354899  -0.00815527  0.16204623  0.34996952
  0.06817328 -0.14125092  0.43924218  0.13511966 -0.13378888  0.1743526
  0.0588597  -1.0681876  -0.18956307 -0.56912303 -0.21173491 -0.20587608
  2.84924152  0.38304004 -0.36888445 -0.66312808  0.06215607  0.12172529
 -0.01767873  0.18493333 -0.15565528 -0.30233672 -0.19462251 -0.31246319
 -0.04137075  0.18048732 -0.12038362 -0.17596938  0.07228042  0.29617036
 -0.21256217  0.32289008]"
Social Media Marketing,69,0,0,70,148,"[ 0.13592276  0.23092043  0.06449278 -0.09772449  0.10239537  0.1628529
 -0.49983327 -0.3366203   0.18905939 -0.09582278 -0.01886141  0.0657726
 -0.04123661 -0.10821179  0.4457967  -0.05502355 -0.09415407 -0.08503349
  0.08220773 -0.31044073  0.31002076  0.00429939  0.09049162 -0.0244052
  0.04925371 -1.02169694 -0.13647647 -0.362735   -0.07077043 -0.05677261
  2.70179215  0.22630796 -0.35120047 -0.53446631  0.04867866  0.1014209
  0.18560533  0.13673375 -0.15070186 -0.15145555 -0.12876746 -0.18202361
  0.07665206  0.19188008 -0.21256851 -0.10721043 -0.11190641  0.33558986
  0.05937488  0.15660536]"
Digital Marketing Internship,69,0,0,70,148,"[ 0.23608231  0.14211278  0.1405726   0.20980821 -0.05092885  0.13386298
 -0.46057443 -0.73704518  0.2709041   0.14464922  0.0476666   0.14249298
 -0.24171047 -0.02264     0.03791931 -0.07808375 -0.15298311  0.04777413
  0.32393725 -0.3826359   0.51324966  0.08470955  0.03229715  0.12235934
 -0.08697759 -0.92481329 -0.2888225  -0.35960177 -0.00790662  0.13946926
  2.84788586  0.16570766 -0.13975259 -0.81286179 -0.31437798  0.07992532
 -0.30787758  0.04498423 -0.26005465 -0.1431785   0.23098086 -0.16070717
 -0.04857628  0.20452105  0.07400046 -0.10622052 -0.09519398  0.5313919
  0.08289636  0.33102151]"
Human-Resources Internship,69,0,0,70,148,"[ 0.15288149  0.13323941  0.07768038  0.11705946  0.10999567 -0.06469265
 -0.52352023  0.05216157  0.20652946 -0.16706597 -0.07874987  0.17770187
 -0.32868019  0.01880368  0.21667116 -0.1882827  -0.01261538 -0.02220292
  0.19152705 -0.26384426  0.28624803  0.17095319  0.01370676 -0.01026053
 -0.12869154 -0.77435736  0.15460124 -0.4331413  -0.13724043 -0.13025948
  2.23913     0.49613615 -0.25539894 -0.55183179  0.17198934  0.25263943
  0.01986805  0.25139716 -0.07806929 -0.28610168 -0.11123644 -0.25767759
 -0.04029429  0.28425546 -0.24003922 -0.23006174  0.02058073  0.70379219
 -0.02738665  0.3450743 ]"
