Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
"The Berlin Prize at the American Academy in Berlin 2020-2021 (stipend of $5,000)",56,0,0,70,211,"[ 1.77054059e-02  5.35549458e-01 -1.83425539e-01 -1.67083833e-01
  9.02149673e-02  6.04367960e-02 -3.27898402e-01 -3.60366930e-01
 -6.84283731e-02 -6.13775402e-03 -1.72344209e-02  7.08056326e-02
 -1.21433645e-01  9.02836915e-02  8.22837912e-02 -1.20927899e-01
  2.59418285e-01 -8.92132277e-02 -1.27436105e-03 -8.30941080e-02
  4.17643453e-01  1.53682772e-01 -1.44529361e-01 -6.17460619e-02
  1.36031689e-01 -1.06859239e+00 -3.94130344e-01 -5.98089276e-01
 -5.11847231e-01  1.11620126e-01  2.29247380e+00 -5.55151370e-03
 -1.45212210e-01 -8.34440979e-01 -1.54723043e-01 -7.66025400e-02
 -2.56565173e-01  2.34074719e-01 -1.54716592e-01 -3.17875792e-03
 -7.18060916e-02 -6.99533863e-02  2.72391720e-01  1.12535612e-01
 -1.23470474e-02  9.44995691e-02 -2.49096272e-02  3.51697229e-01
 -2.79265040e-01 -2.63563552e-02]"
Commonwealth Split-site PhD Scholarships 2020 for Low and Middle Income countries (Fully-funded),56,0,24,70,202,"[-0.10432404  0.40631771  0.00866874 -0.20072769  0.02543745  0.07806041
 -0.32940577 -0.42415993  0.21230838 -0.01955776  0.19089014 -0.04922179
  0.08888954 -0.23640493  0.18177613  0.07907343  0.29445727  0.1864949
 -0.0533867   0.00517548  0.45155221  0.15028746  0.11345052 -0.03014316
 -0.10803394 -0.9371175   0.05493729 -0.66965832 -0.44270365  0.09836577
  2.74177787  0.37957014 -0.23498547 -0.58736257  0.10419769  0.03986111
 -0.08384282  0.36014728 -0.01924179 -0.3212248  -0.20535772 -0.32108404
  0.41107622  0.15827984 -0.28905048 -0.03200298 -0.10536504  0.31397466
 -0.09307765  0.05728849]"
Call for Applications: DAAD PLAAS NELGA Scholarship 2020 for Masters and Doctoral Studies,56,0,0,70,81,"[-0.02848415  0.4074791  -0.15580519 -0.15150471 -0.05415014  0.04916481
 -0.1790036  -0.57570809 -0.00364249 -0.17886063  0.24400894 -0.03847777
  0.13030774 -0.21664014 -0.05415131 -0.04139757  0.23615157  0.22366192
 -0.08639863  0.19997152  0.20668605  0.0761023   0.05265729  0.04232982
 -0.08567046 -0.86713547  0.01821451 -0.66424839 -0.53699348  0.15027639
  2.72017792  0.17022813 -0.30047468 -0.48639761 -0.1486237   0.04641174
 -0.19447049  0.11556944  0.10081974 -0.0583538  -0.03853008 -0.19649508
  0.32866012  0.05398111 -0.16758351 -0.02017639 -0.0496778   0.21561888
 -0.09238042  0.03507343]"
"OppU Achievers Fall Scholarship 2019 for US citizens (Up to $2,500)",56,0,0,300,211,"[-0.25361564  0.68504263  0.01047784 -0.29831573  0.12938932 -0.07186823
 -0.30841336 -0.39762655  0.14440925  0.22924323 -0.05286199 -0.10827236
  0.2191686  -0.25229802  0.45914478 -0.19900746  0.19464323  0.25698352
 -0.18504689 -0.2123477   0.35939138 -0.05080582 -0.06053178 -0.2324741
 -0.05418086 -0.85651683 -0.29356675 -0.6014988  -0.47080669  0.00361915
  2.3903284   0.50058974 -0.13931141 -0.45663659  0.13972307  0.04825265
 -0.05012894  0.33679466 -0.11229985 -0.45582811 -0.31479771 -0.25176002
  0.19636423  0.25921032 -0.4406462  -0.10586003  0.01452629  0.28703928
 -0.32697761  0.03349346]"
Mastercard Foundation Scholars Program 2020-2021 at McGill University,56,0,14,23,2,"[-0.0243836   0.41967687 -0.16093894 -0.18998455  0.09208869 -0.04205137
 -0.38160773 -0.34726087  0.16803447  0.07241435  0.1316452   0.08230318
  0.0869828  -0.21942367 -0.06310032 -0.0133781   0.21848694  0.13670079
  0.28377928  0.02187926  0.31703443  0.21384446 -0.16350089  0.07980565
  0.04286426 -0.95378815 -0.08268743 -0.72725934 -0.54471153 -0.06820529
  2.49924689  0.26518207 -0.25750916 -0.77283364  0.02531844  0.00375561
 -0.07953422  0.26082332 -0.11881858 -0.22307208 -0.09079889 -0.35842558
  0.14243429  0.21877499 -0.07339981 -0.05880556 -0.09532848  0.34216516
 -0.16404792  0.19800923]"
East-West Center US South Pacific Scholarship Program 2019 for Undergraduate and Master’s Study,56,0,10,187,211,"[ 5.28037004e-02  5.43505910e-01 -1.06758108e-01  2.70094437e-03
 -3.47786950e-02 -5.39947567e-02 -3.80678972e-01 -3.45582900e-01
  3.39605109e-01 -6.19823446e-02  1.82484759e-01  8.42033282e-02
  2.43855773e-01 -1.30713613e-01 -2.92172166e-02  5.33093745e-02
  1.35324608e-01  2.45731781e-01 -5.09948896e-02  5.96985586e-02
  3.46424546e-01  7.27365746e-02 -6.22358437e-02  3.27179718e-02
  3.18019600e-02 -1.03363890e+00  2.83373642e-02 -5.69392172e-01
 -2.77485527e-01 -9.66141459e-02  2.70189248e+00  2.38252042e-01
 -3.07242189e-01 -6.11091636e-01  4.31527448e-02 -7.11343139e-03
 -1.28282624e-01  1.79432218e-01 -5.87708603e-03 -2.01030685e-01
 -9.74172960e-02 -3.25992874e-01  3.48460842e-01  1.06239007e-01
 -1.89966299e-01  1.75510364e-02  1.08615649e-01  2.75461748e-01
 -2.01804342e-01  2.58402668e-01]"
TWAS-UNESCO Associateship Scheme 2019/2020 for Researchers (Fully-funded),56,0,24,70,74,"[ 0.30007388  0.36011982 -0.11535961 -0.06687151 -0.05243839  0.01219586
 -0.26484498 -0.19558941  0.24971094 -0.04491613  0.15467789  0.0325195
  0.04317468 -0.05814811  0.19500186  0.07797161  0.11742286  0.00809535
 -0.08512449  0.11468222  0.39101155 -0.03737335  0.11160099 -0.04664443
 -0.06215231 -0.89015077  0.10332069 -0.46308836 -0.29514206  0.17048465
  2.58858974  0.24969854 -0.27402867 -0.54050821 -0.01324908  0.101245
  0.03985536  0.27067461 -0.13206909 -0.17543247 -0.1765038  -0.23247755
  0.14329068  0.03555561 -0.07910815  0.00590659 -0.04704048  0.31701509
 -0.11821328  0.04911844]"
Joint Japan/World Bank Graduate Scholarship Program 2020 for Developing countries (Fully-funded),56,31,14,70,102,"[-1.84066841e-02  3.17469522e-01  2.79751444e-02 -9.21052048e-02
 -5.40062842e-02 -9.67304664e-02 -3.17012405e-01 -4.75497197e-01
  1.87268841e-01 -1.89313303e-01  2.21247175e-01  7.32014326e-02
 -5.65673275e-02 -1.75471912e-02  1.95672529e-02  9.20776520e-02
  1.32780246e-01  3.23399885e-01  5.75206954e-02  1.69987014e-01
  5.95500242e-01 -2.74324956e-03 -1.51587416e-01 -2.50161270e-01
 -1.71055433e-01 -1.34185129e+00  5.42282443e-02 -5.34924143e-01
 -5.50164572e-01  5.02356833e-02  2.87327699e+00  3.33473186e-01
 -2.68115000e-01 -5.93266784e-01 -1.73973451e-01  2.21339971e-03
 -1.35845404e-01  2.32122559e-01  1.21576764e-01 -1.24861508e-01
 -3.44831477e-01 -2.48953087e-01  3.45699002e-01  1.54394949e-02
 -2.03643868e-01 -1.08274376e-01 -1.86612669e-01  5.28073507e-01
 -8.50006099e-02  2.01934537e-01]"
DAAD In-Region PhD Scholarship Programme 2020 at AIMS South Africa,56,0,24,267,81,"[-0.080722    0.36688955 -0.13911367 -0.2594004  -0.07172919 -0.06624301
 -0.19447785 -0.47216312  0.14798083 -0.02737827  0.28994518 -0.04416382
  0.02408615 -0.26663103 -0.03293021 -0.00565016  0.24639011  0.25477855
 -0.07157104  0.21367677  0.38264389  0.13393966  0.05220889  0.01227188
 -0.05998186 -0.98148611  0.14050897 -0.62216248 -0.5738205   0.06491225
  2.62409789  0.24648858 -0.26190182 -0.50563151 -0.04751492  0.00446302
 -0.10240185  0.29506174 -0.00932325 -0.08285573 -0.01466588 -0.32456922
  0.35797443  0.03093791 -0.1146445  -0.01947388  0.00306478  0.38643033
 -0.1472018   0.01102661]"
Government of Ireland Postgraduate Scholarship Programme 2020,56,1,24,70,74,"[ 0.04157638  0.39580902 -0.15338847 -0.25801931 -0.01654142  0.16098942
 -0.47955786 -0.3932391   0.16984018  0.02031648  0.14624279 -0.06578631
  0.09589814 -0.13788931  0.11465819  0.03512584  0.31363742  0.19503753
 -0.10014187 -0.00513438  0.42252528  0.18309403 -0.05388885  0.0290157
  0.10627778 -0.92983368 -0.09220074 -0.52539988 -0.43145749  0.24104792
  2.76925102  0.22366036 -0.17704893 -0.6540675   0.11985926  0.08661941
 -0.07505165  0.32829127 -0.14992513 -0.30743135 -0.15769725 -0.28969566
  0.16048346  0.14170543 -0.26126935 -0.11075134 -0.00634505  0.48086355
 -0.04620797  0.04354069]"
"Institute of International Education’s Scholar Rescue Fund (IIE-SRF) Fellowship for Threathened Scholars 2019/2020 (up to US$25,000)",56,0,24,70,148,"[ 8.05721230e-02  4.20671878e-01  1.65926771e-02 -3.41730022e-01
  6.59087108e-02 -7.04059802e-02 -3.44102815e-01 -3.37468800e-01
  2.34808390e-01 -9.95403566e-02  1.10666533e-01  1.00744911e-02
  4.16851876e-02 -8.98472638e-02  1.60125667e-01 -5.50506930e-02
  2.06897408e-01  5.30563071e-02  1.50970998e-02  4.92014303e-03
  3.90495761e-01  9.85528573e-02 -9.43721829e-02 -1.49053557e-01
 -1.36356979e-01 -9.34550608e-01 -3.22220315e-04 -7.70154217e-01
 -5.97040997e-01  1.10121062e-01  2.65372188e+00  2.97430327e-01
 -2.59677483e-01 -6.01778181e-01 -1.13922770e-01  3.30657371e-02
 -3.60927489e-02  1.71647592e-01  1.22841746e-01 -2.95354430e-01
 -2.19894339e-01 -3.82711656e-01  2.93827388e-01  2.85824285e-01
 -1.45449369e-01 -9.34733453e-02 -5.22383832e-02  2.96507525e-01
 -3.21432866e-01  6.77135691e-02]"
Nigerian Conservation Foundation Chief S.L. Edu Research Grant 2019/2020,56,46,38,301,217,"[ 0.19554187  0.30842454 -0.10601826  0.06127903  0.10724425 -0.00672146
 -0.23842819 -0.51272708  0.38198793  0.00475915  0.24495568  0.24886368
  0.05040374 -0.25329272  0.04580481  0.03440816  0.31504422  0.16897526
  0.01862341  0.05793097  0.0793731   0.17938747  0.00303583 -0.18734109
  0.11911813 -0.67575866 -0.08566585 -0.56696061 -0.29747706  0.11825398
  2.38983539  0.04042464 -0.41787244 -0.41756973 -0.17090838  0.03984598
 -0.07876698 -0.16207762  0.13612999 -0.03568957 -0.061442   -0.25281032
  0.10659444  0.01197173 -0.18895059  0.09392063 -0.13500418  0.24123297
 -0.05474368  0.0195753 ]"
University of Oxford Oppenheimer Fund Academic Exchanges 2019/2020,56,0,0,216,73,"[ 0.16786707  0.458378   -0.05404155 -0.08903842  0.17140022 -0.1987638
 -0.54082322 -0.1485154  -0.02104738 -0.23694923  0.0093934  -0.03719662
  0.02514965 -0.27752331  0.18657024  0.11094918  0.00355718  0.05305212
 -0.05680662  0.06586067  0.43312938  0.20798318  0.09814922  0.02813885
 -0.12712114 -1.27463607  0.15229729 -0.4550894  -0.69998024  0.02587968
  2.72245462  0.17981433 -0.22295955 -0.52756479  0.16568264 -0.06424621
 -0.06741397  0.23948394 -0.08781148 -0.15216913 -0.13932966 -0.1038112
  0.15576805  0.1525075   0.03170937  0.01279025 -0.26482147  0.37572374
 -0.14829302 -0.13146331]"
Covers in Play Pool Enclosure Scholarship 2019 for Undergraduate students in USA/Canada,56,0,0,296,208,"[ 5.70781509e-02  3.70217579e-01 -3.95877411e-02  1.44824218e-01
 -2.56701784e-01  1.86755663e-02 -3.52335172e-01 -3.75259182e-01
  2.16019178e-01  2.85307151e-02  1.01877638e-04  9.51264033e-03
  9.44234172e-02  1.42556546e-01  8.35042287e-03  2.13684545e-01
  2.16167856e-01  2.89417248e-01 -7.43973083e-02 -5.10324877e-01
  3.51227022e-01  5.22109790e-03 -2.93870192e-01  1.10857685e-01
 -4.09591689e-02 -5.63846414e-01 -5.60381884e-02 -1.47215314e-01
  2.02798465e-02 -2.55160431e-01  2.36847126e+00  1.72672874e-01
 -6.80624389e-02 -3.45812139e-01 -1.95337429e-03  3.33917637e-01
  1.55495836e-01  3.91413859e-01 -2.05693611e-02 -3.79473262e-01
  7.61281390e-02 -3.68987653e-01  2.57850486e-01  5.23489800e-01
 -1.57648384e-01  7.06311420e-02  1.21537201e-01 -1.42494962e-01
 -3.69565613e-02  8.21726138e-02]"
Positive Youths Africa (PYA) Purpose Scholarship 2019/2020 for Refugees and IDPs in Cameroon,56,0,0,70,141,"[ 2.95236240e-02  3.82576292e-01 -1.66546286e-02 -4.49231968e-01
  1.25053748e-01  8.27256122e-02 -2.63394521e-01 -2.61038496e-01
  1.04009944e-01  7.49895813e-02  8.78013589e-02 -1.19917033e-01
  1.32125934e-01 -3.44906365e-01  1.60658557e-01 -4.10665432e-02
  1.19840686e-01  1.99176445e-01  6.07206934e-02  1.09268606e-01
  1.33773860e-01  3.04353501e-01  4.98302761e-02  1.32829275e-01
  3.37887440e-02 -9.21079257e-01  6.11141859e-04 -5.95809696e-01
 -2.36677778e-01 -1.04301153e-01  2.58448845e+00  3.36184710e-01
 -2.12160805e-01 -6.92830269e-01  1.61948626e-01  2.45970747e-01
  6.41975129e-02  1.08019349e-01  8.04287178e-02 -1.89792733e-01
 -1.98674740e-01 -3.00564194e-01  2.08783606e-01  2.07537404e-01
 -8.16250792e-02  2.52208605e-02  2.20235543e-02  1.91239740e-01
 -1.34391397e-01  7.43954219e-02]"
Ashinaga Africa Initiative 2020 for Students in Anglophone and Francophone countries,56,0,0,23,2,"[ 0.14854707  0.30587008 -0.06574477 -0.28310591  0.03654972 -0.0099358
 -0.26615105 -0.42998156  0.33028586  0.10113239  0.22764701 -0.08148734
  0.03523881 -0.26320647  0.02127452  0.0748984   0.25775763  0.01771013
  0.11135691  0.09508561  0.25160831  0.15398473 -0.04237931  0.07533195
  0.085744   -1.00585217  0.09126619 -0.5903094  -0.2823804   0.24293084
  2.80132783  0.43847613 -0.30142977 -0.68656173 -0.021504   -0.08241652
 -0.1665113   0.17822928 -0.160411   -0.14574055 -0.26570652 -0.27869157
  0.33479564 -0.04718365 -0.10964006  0.20908391 -0.0786175   0.31535415
 -0.03424323  0.0174656 ]"
Gates Cambridge Scholarship Programme 2020 to study in the United Kingdom (Fully-funded),56,0,0,70,202,"[-1.03267999e-03  5.64105365e-01  4.97037092e-02 -2.42911834e-01
  3.76843274e-02 -2.10665442e-02 -4.45803814e-01 -2.85273218e-01
  2.45613188e-01 -3.48987600e-02  4.32497414e-02 -1.00532337e-01
  2.93332455e-02 -2.50068876e-01  2.00106231e-01  4.97486416e-03
  9.81512648e-02  2.49247166e-01 -3.21999759e-01  4.84029700e-02
  6.38876543e-01  2.02544162e-01  1.65894845e-02 -3.24186307e-03
 -1.07641155e-01 -1.09961408e+00  6.03891738e-02 -5.45394153e-01
 -5.32454690e-01 -7.16760973e-02  2.52185898e+00  2.10819070e-01
 -2.23118339e-01 -5.34306577e-01  1.45017868e-01 -7.23034518e-02
  1.17678241e-01  3.29575204e-01  2.20918968e-02 -2.57729800e-01
 -5.01858137e-03 -2.79037476e-01  2.44422291e-01  1.34358187e-01
 -3.47404847e-01  6.64607037e-02 -4.59831446e-02  1.74220085e-01
 -2.84765011e-01  1.82940139e-02]"
"Adobe Research Fellowship Program 2020 for Graduate Students (Up to $10,000 award)",56,0,24,70,148,"[ 0.17738342  0.17472495  0.19185286  0.07821391  0.1395258  -0.05195331
 -0.38337381 -0.62530161  0.1517558   0.35008496  0.20674986  0.02730148
  0.15485198 -0.03581808 -0.06081987  0.05222059  0.06655941  0.36142208
  0.20204867 -0.33839886  0.37833342  0.21729881 -0.12088059 -0.05328995
  0.21184523 -0.73183093 -0.33463664 -0.5662844  -0.04019251 -0.08540689
  2.68151389  0.06020806 -0.23926528 -0.80248513 -0.08519861  0.18746077
 -0.27757588  0.35489179  0.04730644 -0.19268402  0.09742662 -0.32475976
  0.12755262  0.38820985 -0.02446726  0.05983453  0.16343722  0.30334363
 -0.16404042  0.14360408]"
"Microsoft PhD Scholarship Programme in Europe, Middle East and Africa (EMEA) 2020",56,0,24,214,72,"[ 0.11142965  0.2654101   0.04458364 -0.10079971 -0.14613582 -0.02472563
 -0.46886466 -0.52681277  0.22190145 -0.01992914  0.09915936  0.03351511
 -0.0659844  -0.21543577  0.13079851 -0.05684451  0.0699641   0.20912354
 -0.05090121  0.05035809  0.50719586  0.13150241  0.12557599 -0.04823949
 -0.09216365 -0.89583287  0.07972988 -0.67589028 -0.72893517 -0.00695955
  2.54476113 -0.03854376 -0.23985655 -0.69755002  0.04918146 -0.06331138
 -0.08683596  0.39962513  0.10852677 -0.23005009 -0.03784054 -0.3267971
  0.23843623  0.21349495 -0.23391818  0.01156783  0.09814606  0.33993206
 -0.25326045  0.14948037]"
WAAW Foundation STEM Scholarships for Female Students 2019/2020,56,0,0,23,2,"[-0.0486943   0.4472805  -0.10505523 -0.09999972  0.04941526  0.03963693
 -0.37748189 -0.5013868   0.38816637 -0.02719854  0.19678455 -0.08880768
  0.07280236 -0.20550528 -0.00961294 -0.03604927  0.16319589  0.27421079
  0.02503547  0.0505124   0.29087363  0.1718812  -0.06972843 -0.07022275
 -0.05404942 -1.16385775 -0.03774523 -0.67565595 -0.51766033 -0.06463232
  2.73944716  0.2890588  -0.44036735 -0.69060688 -0.08365596 -0.00562043
 -0.17325763  0.2348422   0.14505326 -0.1464509  -0.22302814 -0.30722166
  0.18936995  0.1310423  -0.02672813  0.06724245 -0.0540524   0.20724564
 -0.22003211  0.04243647]"
UNU-WIDER Visiting PhD Fellowship Programme 2019/2020 (Funding available),56,31,24,70,74,"[ 0.12572403  0.54581282 -0.09117365 -0.23733135  0.0293518   0.0079822
 -0.54135006 -0.29190533  0.15909377 -0.06775092  0.09954412  0.02100023
  0.00310325 -0.00330425  0.15068822 -0.02343904  0.11498032  0.15648306
 -0.070921    0.09776684  0.60018247  0.2522901   0.21466455 -0.11781067
  0.11507655 -0.96861277 -0.06203077 -0.56023114 -0.50101737 -0.03839659
  2.55290119  0.15162378 -0.26832961 -0.79287875 -0.05869771  0.04518009
 -0.12402178  0.56649706  0.18854272 -0.15943856 -0.12690158 -0.45804004
  0.20021764  0.22277041 -0.08500731 -0.05609365  0.1006588   0.38762731
 -0.22394994  0.08001441]"
Google AI Faculty Research Awards 2019/2020 for Research in Computer Science and Engineering,56,1,24,70,211,"[ 1.89470951e-01  3.28928373e-01  1.33447165e-01  9.22854962e-03
  3.65607483e-02  5.53489776e-02 -4.59784285e-01 -6.11053892e-01
  3.14943143e-01  1.67804085e-01  2.06163884e-01  8.34520172e-02
  2.46972434e-02 -3.19774610e-02 -8.84398474e-02 -3.42024805e-03
  6.71073657e-02  2.36100230e-01  1.77846921e-01 -1.44853837e-01
  5.36667229e-01  5.73887862e-02 -4.72710008e-02 -1.39660407e-01
 -4.19039922e-02 -1.07891037e+00 -2.18013506e-01 -5.89956199e-01
 -4.35114455e-01 -6.37223765e-02  2.85871664e+00  1.33322710e-01
 -1.65786835e-01 -9.29332323e-01 -1.40456766e-01  1.62616821e-02
 -2.52435842e-01  3.66089648e-01 -7.90351427e-03 -1.75316160e-01
 -2.95187680e-02 -3.12468499e-01  1.45133781e-01  2.34250899e-01
 -1.48684172e-02 -1.26142749e-01 -2.26379885e-03  4.81675668e-01
 -2.16097066e-01  2.40477358e-01]"
David Bohnett Public Service Fellowship 2020 for Masters Study at NYU Wagner,56,0,38,300,211,"[ 3.30468875e-02  5.70361377e-01 -5.09387388e-02 -1.40613200e-01
  2.15754931e-02 -2.89201468e-01 -3.81196315e-01 -1.53052285e-01
 -6.64630475e-03 -1.57457034e-01 -1.94513654e-01 -1.90638804e-01
 -1.00737748e-01  5.34582379e-04  2.06262779e-01 -5.92208406e-02
  1.99918465e-01  9.04555649e-02  1.42383289e-02 -4.46041318e-03
  3.78986013e-01  6.32430993e-02 -1.11657117e-01 -9.24400819e-03
 -1.91107919e-01 -8.64818075e-01  4.03585602e-02 -4.88343630e-01
 -5.82772153e-01 -2.93655727e-02  2.14257449e+00  2.70793839e-01
 -3.11784593e-01 -6.33013894e-01 -1.49810828e-01 -7.50825431e-02
  2.80352720e-02  1.74114919e-01  1.10382670e-01 -1.49935361e-01
 -2.58051333e-01 -2.34414827e-01  3.55206284e-02  8.22748774e-02
 -3.04544280e-02  3.09493227e-02 -1.64127999e-01  1.32453691e-01
 -3.04419075e-01  2.59102788e-01]"
Henry Hart Rice Urban Studies Fellowship 2020 to study at NYU Wagner,56,31,0,70,211,"[ 0.06306551  0.5321092  -0.21121803 -0.04917343  0.22853452  0.04400828
 -0.62094142 -0.35346177  0.05017602 -0.0618711  -0.14880538  0.09996426
 -0.08416458 -0.27423914  0.06485095  0.00917619  0.30917319  0.15603469
 -0.09962767  0.0387126   0.39562347  0.06291737 -0.24839622 -0.18243251
 -0.06480995 -1.00136377 -0.12189947 -0.35036063 -0.20954823  0.08002349
  2.33546105 -0.07098862 -0.06806219 -0.58602726  0.02041508  0.0218764
 -0.15740925  0.24191094  0.09619563 -0.09676428 -0.23890018 -0.09863373
 -0.05927094 -0.04635434 -0.03652307  0.15354446 -0.30564543 -0.11201275
 -0.13414241  0.15037749]"
African Women’s Public Service Fellowship 2020 for Masters study at NYU Wagner,56,31,38,23,211,"[ 7.04203632e-02  4.84692560e-01 -1.43357303e-01 -2.00433449e-01
  1.59178590e-01  2.79254652e-02 -3.16019301e-01 -2.73903713e-01
  3.33642603e-01 -6.62939421e-02  1.38018001e-01  3.52566342e-02
  3.78076608e-04 -8.07132551e-02  2.47510109e-01 -4.80523177e-02
  9.79925521e-02  6.74545431e-02  1.92680903e-02 -3.30442252e-02
  2.65149015e-01  2.13302255e-01 -3.38725156e-03  5.78088922e-04
  3.88427334e-02 -1.02567301e+00 -4.59394428e-02 -6.05780571e-01
 -4.18405050e-01  2.76593505e-03  2.49231937e+00  5.13338554e-01
 -3.13809780e-01 -5.96876716e-01 -1.57153284e-01 -1.53752638e-02
  9.62510624e-03  2.10255110e-01 -1.64685919e-01 -3.07875496e-01
 -1.59936525e-01 -3.62143384e-01  2.20250031e-01  1.84838626e-01
 -1.43041382e-01  7.30259718e-02 -1.18396543e-01  2.04082440e-01
 -2.41670580e-01  6.53715715e-02]"
American University (AU) Emerging Global Leader Scholarship 2019/2020,56,0,0,70,211,"[ 0.12001505  0.46223103 -0.16475798 -0.00564596  0.22300202 -0.09089814
 -0.14182678 -0.48247621  0.24938084  0.07868421  0.23888663 -0.08589164
 -0.18810507 -0.06566512 -0.15440371  0.03682554  0.28787803  0.17120922
  0.08327121 -0.03899491  0.09577925  0.25007752 -0.21245376  0.01302622
  0.01454877 -0.84600809 -0.08389639 -0.44969592 -0.30839343  0.30091979
  2.62344888  0.44584298 -0.34176771 -0.50145781 -0.22828798 -0.14655903
 -0.25051395  0.10185933 -0.03443301 -0.18154611 -0.10454626 -0.23845303
  0.08663377 -0.11960342 -0.08189815  0.14471356 -0.06706962  0.1258087
 -0.02096281  0.13824243]"
Canon Foundation-Kyoto University Japan-Africa Exchange Program 2019 (Funding available),56,31,38,21,2,"[ 0.04986635  0.495097   -0.02737878 -0.17338179 -0.01637407 -0.0063782
 -0.29286166 -0.56351629 -0.01882843  0.03718472  0.27789123  0.02792118
 -0.02256226 -0.11881647  0.20636566  0.13732683  0.01875795  0.16618246
 -0.31343582  0.24508652  0.37548971 -0.02509672  0.16430479 -0.19580136
 -0.14699874 -1.02045273  0.07917375 -0.54547722 -0.61795703 -0.06120167
  2.48278434  0.04663906 -0.36971105 -0.53619231  0.01569004 -0.22161768
  0.07222344  0.2781478   0.1698131  -0.04781361 -0.159194   -0.34502499
  0.30716454  0.04652868 -0.13006756  0.16042767  0.08684621  0.31429041
 -0.33540019  0.08974881]"
"ARNTD/USAID African Researchers’ Small Grants Program 2019 (Up to $25,000)",56,46,24,23,211,"[ 2.79573487e-01  2.76774473e-01  1.48083919e-02 -7.66504630e-02
 -1.28279683e-01  1.17265612e-01 -2.20057739e-01 -5.73343101e-01
  2.84154650e-01 -2.31427512e-01  2.24271375e-01  1.45608551e-01
 -7.71381923e-02 -9.37826945e-02 -3.78020002e-02  9.87425080e-03
  1.10864235e-01  7.19492730e-02 -1.41427702e-01  2.29828125e-01
  3.93064249e-02 -2.83451133e-02  1.51180603e-01 -5.36214136e-02
 -2.45169010e-02 -8.30986208e-01 -1.04099922e-01 -5.67105886e-01
 -3.78635605e-01  2.31983462e-01  2.73521511e+00  1.93302358e-02
 -1.80781804e-01 -4.26862992e-01 -9.46174022e-02  6.45591630e-02
  4.73376209e-02  1.51964844e-02  7.58254866e-04 -1.12484976e-01
 -7.27696698e-02 -2.35029824e-01  3.12625501e-01 -1.34155277e-01
 -7.33650887e-02  2.78504373e-01 -7.52234478e-02  1.46273879e-01
 -7.23012357e-02  1.24536192e-01]"
"Climate, Food and Farming – Global Research Alliance Development Scholarship (CLIFF-GRADS) Program 2019",56,74,24,70,148,"[ 2.13259338e-01  3.40658251e-01  1.56944342e-01 -3.25796943e-02
 -2.31345242e-01  1.43107769e-01 -2.52028790e-01 -7.24494438e-01
  3.92298890e-01  9.32990997e-02  3.47723372e-01  1.44153898e-02
  1.82987347e-01  4.48038729e-03  1.31678487e-01  1.27874661e-01
  2.41121600e-01  2.69503710e-01 -1.42173518e-01 -1.07972904e-01
  4.09682878e-01 -2.00982005e-01  1.33046792e-01 -1.45164016e-01
 -6.35890373e-02 -8.08708078e-01  6.46691779e-02 -5.12312546e-01
 -2.78168338e-01  1.93279175e-01  2.73170663e+00 -4.22707107e-02
 -3.23559660e-01 -6.93081868e-01 -3.81795036e-03 -8.20445260e-03
 -2.45182350e-03  2.75894804e-01  3.16979285e-01  8.34191301e-02
 -1.59309257e-01 -2.99365780e-01  4.56841569e-01  1.46729652e-01
 -3.61698191e-02  1.15989728e-01  1.08792679e-01  4.40919625e-01
 -7.53120816e-02  2.12874823e-01]"
African Academy of Sciences Postdoctoral Fellowship in Medical & Health Sciences 2020,60,46,24,23,190,"[ 0.22828884  0.37365318  0.02204938 -0.11231482  0.02635919 -0.06853754
 -0.38526006 -0.3808949   0.27487539 -0.12810178  0.16578618  0.03999001
 -0.06207303  0.07567506 -0.05585066  0.00595669  0.24769285  0.20705948
  0.05004201  0.0973894   0.18534479  0.17190814 -0.00379401 -0.04692869
 -0.04929661 -0.86584484 -0.048276   -0.64378701 -0.54939904  0.10696066
  2.43581668  0.23159939 -0.26901159 -0.60236606 -0.0350473   0.03940204
 -0.13645943  0.23820275  0.22035556 -0.11854976 -0.22763141 -0.33102764
  0.25172376  0.13552207  0.04454449  0.10071515 -0.08186614  0.28263948
 -0.17672108  0.13937832]"
YSEALI Professional Fellows Program 2020 for Emerging Leaders (Fully-funded to the US),60,31,38,159,190,"[ 0.14044966  0.31165723 -0.00663032 -0.0823267   0.04427124 -0.01850481
 -0.50195349 -0.26781756  0.06368301 -0.02899761  0.02294655 -0.00665648
 -0.05191008  0.19399213  0.03018221 -0.11446425  0.10749625  0.16530287
  0.16097945 -0.29747287  0.41936242  0.20172434  0.04159285  0.07169798
 -0.11540524 -0.93620381 -0.08968284 -0.54728446 -0.2346958   0.00388373
  2.84834546  0.40242692 -0.26013957 -0.6631176   0.03825874  0.10143114
 -0.20128564  0.28861905 -0.22098865 -0.27727277 -0.18578133 -0.37325222
  0.28172856  0.24031965  0.02003363 -0.07335977 -0.11041323  0.41125235
 -0.18292902  0.22357449]"
